id,date,title,summary,root_cause,countermeasure,product,client,tags,severity,owner,lead_time_hours,tacit_notes
1,2025/08/15,倉庫ロケミス,倉庫ロケミスが発生し対応を実施。追加工数が発生。,作業標準未確認,作業動線見直し,POP,G流通,異物;物流,Medium,製造三課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
2,2025/09/30,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,センサー汚れ,湿度管理強化,ラベル,J飲料,データ,High,資材課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
3,2025/04/11,給油不足,給油不足が発生し対応を実施。追加工数が発生。,人的ミス,二重チェック導入,カタログ,E通販,印刷;工程;異物,Medium,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
4,2025/07/04,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,粉塵堆積,センサー清掃頻度増加,ポスター,B食品,物流,Critical,製造二課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。
5,2025/09/05,見当不良,見当不良が発生し対応を実施。追加工数が発生。,設定ミス,湿度管理強化,ラベル,C電機,異物;製本;データ,Critical,製造一課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
6,2025/07/30,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,静電気,湿度管理強化,ラベル,D製薬,検査;異物,Medium,設備保全部,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
7,2025/07/09,出荷誤配送,出荷誤配送が発生し対応を実施。追加工数が発生。,センサー汚れ,センサー清掃頻度増加,書籍,D製薬,製本;物流;検査,Low,物流課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
8,2025/04/08,紙粉多発,紙粉多発が発生し対応を実施。追加工数が発生。,外注ミス,センサー清掃頻度増加,カタログ,B食品,データ,High,物流課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
9,2025/06/24,版材キズ,版材キズが発生し対応を実施。追加工数が発生。,設定ミス,材料受入強化,チラシ,H化粧品,データ,Medium,工程管理課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。
10,2025/07/14,給紙二重送り,給紙二重送りが発生し対応を実施。追加工数が発生。,外注ミス,排気改善,パッケージ箱,B食品,製本,High,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
11,2025/08/20,油圧低下,油圧低下が発生し対応を実施。追加工数が発生。,人的ミス,排気改善,POP,B食品,異物,Low,設備保全部,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
12,2025/08/01,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,人的ミス,センサー清掃頻度増加,パッケージ箱,B食品,工程;後加工,Medium,工程管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
13,2025/05/03,異物混入疑い,異物混入疑いが発生し対応を実施。追加工数が発生。,要因解析中,IoT監視強化,名刺,A商事,環境;物流;品質,Critical,工程管理課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
14,2025/08/09,バーコード読取不良,バーコード読取不良が発生し対応を実施。追加工数が発生。,人的ミス,排気改善,冊子,F出版社,品質;工程,High,資材課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
15,2025/09/05,プリセット値誤設定,プリセット値誤設定が発生し対応を実施。追加工数が発生。,外注ミス,設備点検強化,ラベル,H化粧品,環境;物流;製本,Medium,製造一課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
16,2025/09/10,支給データ破損,支給データ破損が発生し対応を実施。追加工数が発生。,排気不足,排気改善,マニュアル,G流通,製本;品質;データ,High,資材課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
17,2025/05/19,インキ汚れ,インキ汚れが発生し対応を実施。追加工数が発生。,外注ミス,標準書改訂,パッケージ箱,D製薬,印刷,Critical,工程管理課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。
18,2025/06/23,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,排気不足,標準書改訂,ポスター,I自動車,環境;製本;品質,High,設備保全部,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
19,2025/08/25,インキ汚れ,インキ汚れが発生し対応を実施。追加工数が発生。,受入検査不備,試し刷り増加,書籍,I自動車,環境;製本;印刷,High,品質管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
20,2025/04/28,QR印字欠け,QR印字欠けが発生し対応を実施。追加工数が発生。,環境変動,校正プロセス強化,ポスター,J飲料,異物;設備,High,物流課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
21,2025/09/18,断裁寸法不良,断裁寸法不良が発生し対応を実施。追加工数が発生。,設定ミス,排気改善,チラシ,G流通,安全,Medium,物流課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
22,2025/06/19,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,粉塵堆積,材料受入強化,ラベル,J飲料,データ,Medium,製造二課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
23,2025/04/23,インキロット異常,インキロット異常が発生し対応を実施。追加工数が発生。,粉塵堆積,センサー清掃頻度増加,マニュアル,H化粧品,後加工,Low,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
24,2025/05/17,折りズレ,折りズレが発生し対応を実施。追加工数が発生。,機械疲労,設備点検強化,書籍,I自動車,検査,Low,製造三課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。
25,2025/05/26,裏移り,裏移りが発生し対応を実施。追加工数が発生。,教育不足,センサー清掃頻度増加,名刺,B食品,データ,Critical,資材課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
26,2025/04/16,油圧低下,油圧低下が発生し対応を実施。追加工数が発生。,人的ミス,作業動線見直し,カタログ,B食品,データ,Low,製造二課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
27,2025/04/05,ラベル貼付漏れ,ラベル貼付漏れが発生し対応を実施。追加工数が発生。,教育不足,標準書改訂,マニュアル,E通販,データ;設備;工程,High,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
28,2025/06/17,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,受入検査不備,試し刷り増加,書籍,C電機,異物,Critical,物流課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
29,2025/09/02,給油不足,給油不足が発生し対応を実施。追加工数が発生。,環境変動,排気改善,パッケージ箱,B食品,後加工;安全,Critical,資材課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
30,2025/04/14,見当不良,見当不良が発生し対応を実施。追加工数が発生。,作業標準未確認,ネットワーク監視強化,POP,D製薬,品質;印刷;後加工,Low,工程管理課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
31,2025/08/12,安全カバー未装着,安全カバー未装着が発生し対応を実施。追加工数が発生。,排気不足,湿度管理強化,チラシ,H化粧品,設備,High,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
32,2025/06/12,JDF連携不良,JDF連携不良が発生し対応を実施。追加工数が発生。,静電気,湿度管理強化,名刺,B食品,品質,Critical,物流課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
33,2025/05/02,インキロット異常,インキロット異常が発生し対応を実施。追加工数が発生。,システム障害,作業動線見直し,カタログ,A商事,安全;物流,Critical,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
34,2025/04/20,箔押しムラ,箔押しムラが発生し対応を実施。追加工数が発生。,作業標準未確認,作業動線見直し,ラベル,C電機,環境,Medium,工程管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
35,2025/09/11,ラミ気泡,ラミ気泡が発生し対応を実施。追加工数が発生。,人的ミス,センサー清掃頻度増加,名刺,B食品,品質;環境,Medium,製造三課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
36,2025/09/11,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,システム障害,校正プロセス強化,名刺,A商事,製本,High,製造二課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
37,2025/06/16,異物混入疑い,異物混入疑いが発生し対応を実施。追加工数が発生。,環境変動,IoT監視強化,パッケージ箱,A商事,印刷;品質;データ,High,設備保全部,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
38,2025/09/18,設備モーター異常,設備モーター異常が発生し対応を実施。追加工数が発生。,システム障害,排気改善,チラシ,D製薬,製本,Critical,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
39,2025/06/14,温度上昇アラート,温度上昇アラートが発生し対応を実施。追加工数が発生。,粉塵堆積,試し刷り増加,書籍,I自動車,異物;安全,Low,物流課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
40,2025/07/24,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,伝達ミス,排気改善,カタログ,E通販,製本,Medium,資材課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
41,2025/07/14,給紙二重送り,給紙二重送りが発生し対応を実施。追加工数が発生。,外注ミス,ネットワーク監視強化,ポスター,C電機,安全,Critical,設備保全部,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
42,2025/06/18,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,粉塵堆積,IoT監視強化,ラベル,C電機,工程;印刷,Low,工程管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
43,2025/06/18,給油不足,給油不足が発生し対応を実施。追加工数が発生。,要因解析中,二重チェック導入,カタログ,A商事,物流,High,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
44,2025/04/20,電源瞬断,電源瞬断が発生し対応を実施。追加工数が発生。,人的ミス,標準書改訂,ポスター,B食品,設備;品質,High,工程管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
45,2025/06/11,倉庫ロケミス,倉庫ロケミスが発生し対応を実施。追加工数が発生。,排気不足,標準書改訂,カタログ,A商事,物流,Medium,品質管理課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
46,2025/06/21,抜き不良,抜き不良が発生し対応を実施。追加工数が発生。,伝達ミス,二重チェック導入,POP,E通販,安全;後加工,Low,製造三課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
47,2025/05/23,断裁寸法不良,断裁寸法不良が発生し対応を実施。追加工数が発生。,教育不足,材料受入強化,ポスター,D製薬,製本,Medium,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
48,2025/06/08,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,機械疲労,試し刷り増加,カタログ,D製薬,安全;物流;品質,High,製造三課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
49,2025/08/05,静電気付着,静電気付着が発生し対応を実施。追加工数が発生。,受入検査不備,試し刷り増加,ポスター,I自動車,物流;安全,Low,製造二課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
50,2025/09/30,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,設備劣化,材料受入強化,ラベル,F出版社,設備;環境;製本,Medium,資材課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
51,2025/07/22,QR印字欠け,QR印字欠けが発生し対応を実施。追加工数が発生。,静電気,材料受入強化,カタログ,C電機,異物;品質,High,製造二課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
52,2025/04/24,裏移り,裏移りが発生し対応を実施。追加工数が発生。,静電気,校正プロセス強化,書籍,D製薬,安全;品質;データ,Medium,工程管理課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
53,2025/04/16,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,原材料ロット不良,IoT監視強化,ラベル,J飲料,物流,High,製造一課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
54,2025/08/20,作業手順未遵守,作業手順未遵守が発生し対応を実施。追加工数が発生。,静電気,二重チェック導入,カタログ,I自動車,設備;物流,High,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
55,2025/07/02,センサー誤検知,センサー誤検知が発生し対応を実施。追加工数が発生。,伝達ミス,試し刷り増加,チラシ,C電機,物流;設備,Low,製造三課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
56,2025/08/15,紙粉多発,紙粉多発が発生し対応を実施。追加工数が発生。,設備劣化,作業動線見直し,カタログ,G流通,検査;物流;安全,Critical,資材課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
57,2025/08/14,RIPエラー,RIPエラーが発生し対応を実施。追加工数が発生。,システム障害,二重チェック導入,POP,E通販,検査,Medium,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
58,2025/05/15,RIPエラー,RIPエラーが発生し対応を実施。追加工数が発生。,教育不足,標準書改訂,マニュアル,C電機,データ;印刷;設備,Medium,資材課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
59,2025/09/26,ネットワーク断,ネットワーク断が発生し対応を実施。追加工数が発生。,作業標準未確認,センサー清掃頻度増加,パッケージ箱,E通販,安全;後加工,High,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
60,2025/05/28,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,設定ミス,教育訓練実施,POP,F出版社,製本;工程;データ,Critical,製造一課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。
61,2025/05/09,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,センサー汚れ,作業動線見直し,ポスター,J飲料,異物,Critical,資材課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
62,2025/07/29,排気ダクト詰まり,排気ダクト詰まりが発生し対応を実施。追加工数が発生。,要因解析中,排気改善,POP,C電機,異物,High,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
63,2025/04/24,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,排気不足,材料受入強化,書籍,B食品,データ,Low,設備保全部,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
64,2025/05/06,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,粉塵堆積,センサー清掃頻度増加,マニュアル,A商事,製本;検査;設備,Medium,品質管理課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
65,2025/09/27,搬送ベルト滑り,搬送ベルト滑りが発生し対応を実施。追加工数が発生。,原材料ロット不良,教育訓練実施,ポスター,G流通,設備;データ;物流,Medium,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
66,2025/04/08,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,要因解析中,ネットワーク監視強化,冊子,E通販,工程;製本;印刷,Low,資材課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
67,2025/06/15,ネットワーク断,ネットワーク断が発生し対応を実施。追加工数が発生。,排気不足,教育訓練実施,カタログ,G流通,後加工,Medium,品質管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
68,2025/05/15,エンボス不良,エンボス不良が発生し対応を実施。追加工数が発生。,原材料ロット不良,湿度管理強化,POP,H化粧品,工程;異物;設備,Low,物流課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
69,2025/08/03,RIPエラー,RIPエラーが発生し対応を実施。追加工数が発生。,人的ミス,IoT監視強化,チラシ,G流通,環境;異物,Medium,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
70,2025/06/12,裏移り,裏移りが発生し対応を実施。追加工数が発生。,受入検査不備,作業動線見直し,チラシ,B食品,工程,Medium,製造一課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
71,2025/07/18,インキロット異常,インキロット異常が発生し対応を実施。追加工数が発生。,排気不足,排気改善,POP,D製薬,工程;異物;検査,High,製造二課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
72,2025/06/02,搬送ベルト滑り,搬送ベルト滑りが発生し対応を実施。追加工数が発生。,教育不足,ネットワーク監視強化,カタログ,J飲料,印刷;異物,Critical,資材課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
73,2025/04/28,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,要因解析中,ネットワーク監視強化,名刺,C電機,印刷,High,工程管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
74,2025/06/30,ネットワーク断,ネットワーク断が発生し対応を実施。追加工数が発生。,設定ミス,IoT監視強化,POP,G流通,データ,High,工程管理課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
75,2025/08/28,型抜きズレ,型抜きズレが発生し対応を実施。追加工数が発生。,設備劣化,二重チェック導入,チラシ,E通販,品質;データ;印刷,Medium,品質管理課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
76,2025/04/25,静電気付着,静電気付着が発生し対応を実施。追加工数が発生。,教育不足,設備点検強化,マニュアル,H化粧品,安全;環境,High,品質管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
77,2025/09/19,インキ汚れ,インキ汚れが発生し対応を実施。追加工数が発生。,機械疲労,IoT監視強化,POP,J飲料,設備;製本,High,物流課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。
78,2025/05/22,設備モーター異常,設備モーター異常が発生し対応を実施。追加工数が発生。,計画変更未連携,ネットワーク監視強化,パッケージ箱,I自動車,製本,Medium,製造三課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
79,2025/07/04,箔押しムラ,箔押しムラが発生し対応を実施。追加工数が発生。,計画変更未連携,作業動線見直し,POP,G流通,物流,Low,製造二課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。
80,2025/05/07,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,要因解析中,校正プロセス強化,ポスター,F出版社,異物;工程,High,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
81,2025/09/09,搬送ベルト滑り,搬送ベルト滑りが発生し対応を実施。追加工数が発生。,原材料ロット不良,教育訓練実施,名刺,J飲料,環境;データ,Medium,製造三課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
82,2025/08/23,支給データ破損,支給データ破損が発生し対応を実施。追加工数が発生。,伝達ミス,IoT監視強化,マニュアル,A商事,安全;製本,High,設備保全部,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
83,2025/07/26,安全カバー未装着,安全カバー未装着が発生し対応を実施。追加工数が発生。,教育不足,校正プロセス強化,書籍,D製薬,異物,Medium,資材課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
